,BoroCT,2011 Household Median Income
960,3083800,69742
961,3084000,58897
962,3084600,75000
963,3084800,70789
964,3085000,61096
965,3085200,-
966,3085400,71648
967,3085600,62519
968,3085800,52601
969,3086000,40529
970,3086200,36055
971,3086400,87649
972,3086600,42632
973,3086800,27382
974,3087000,36700
975,3087200,50402
976,3087401,40560
977,3087600,59750
978,3087800,45454
979,3088000,54302
980,3088200,35829
981,3088400,38906
982,3088600,35725
983,3088800,43986
984,3089000,34489
985,3089200,28768
986,3089400,42431
987,3089600,34010
988,3089800,37569
989,3090000,27104
990,3090200,23155
991,3090600,15149
992,3090800,12288
993,3091000,10844
994,3091200,17630
995,3091600,22692
996,3091800,31656
997,3092000,30069
998,3092200,30735
999,3092400,37721
1000,3092800,65775
1001,3093000,67054
1002,3093200,62784
1003,3093400,66943
1004,3093600,66635
1005,3093800,39600
1006,3094401,57031
1007,3094402,17756
1008,3094600,65357
1009,3095000,69103
1010,3095400,61224
1011,3095600,66364
1012,3095800,60045
1013,3096000,-
1014,3096200,65114
1015,3096400,64792
1016,3096600,85489
1017,3096800,82625
1018,3097000,51250
1019,3097400,57794
1020,3098200,20037
1021,3098400,81806
1022,3098600,67917
1023,3098800,60089
1024,3099000,44441
1025,3099200,74746
1026,3099400,78750
1027,3099600,69110
1028,3099800,62903
1029,3100400,66213
1030,3100600,89531
1031,3100800,49808
1032,3101000,59737
1033,3101200,58250
1034,3101400,66078
1035,3101600,73438
1036,3101800,71827
1037,3102000,89213
1038,3102200,56101
1039,3102400,51825
1040,3102600,66330
1041,3102800,82872
1042,3103400,25523
1043,3105801,20481
1044,3105804,25946
1045,3107000,58405
1046,3107800,59229
1047,3109800,37688
1048,3110400,33252
1049,3110600,27867
1050,3111000,20083
1051,3111600,42786
1052,3111800,30517
1053,3112000,48870
1054,3112200,46732
1055,3112400,45769
1056,3112600,25242
1057,3112800,35465
1058,3113000,37500
1059,3113200,57500
1060,3113400,20179
1061,3114201,48684
1062,3114202,25813
1063,3114400,26827
1064,3114600,35714
1065,3115000,35074
1066,3115200,17861
1067,3115600,16102
1068,3115800,36693
1069,3116000,31063
1070,3116200,39516
1071,3116400,38405
1072,3116600,38021
1073,3116800,40588
1074,3117000,37634
1075,3117201,43529
1076,3117202,39697
1077,3117400,48556
1078,3117601,37829
1079,3117602,40169
1080,3117800,43672
1081,3118000,-
1082,3118201,50643
1083,3118202,34223
1084,3118400,45180
1085,3118600,52554
1086,3118800,23686
1087,3119000,26484
1088,3119200,19643
1089,3119400,29844
1090,3119600,31453
1091,3119800,36812
1092,3120000,33421
1093,3120200,51750
1094,3120800,32418
1095,3121000,13205
1096,3121400,16169
1097,3122000,41645
1098,3123700,28652
1099,3150200,88711
1100,3152200,78125
1101,3990100,-
1102,1000100,-
1103,1000201,20304
1104,1000202,24459
1105,1000500,-
1106,1000600,20451
1107,1000700,125124
1108,1000800,30417
1109,1000900,124048
1110,1001001,79276
1111,1001002,16769
1112,1001200,48268
1113,1001300,114412
1114,1001401,86806
1115,1001402,29554
1116,1001501,62927
1117,1001502,126650
1118,1001600,27799
1119,1001800,42775
1120,1002000,18750
1121,1002100,205192
1122,1002201,41284
